f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,price,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price.1,neighbourhood_cleansed,cancellation_policy,room_type,property_type,flag_n_bathrooms,flag_n_beds,flag_n_review_scores_rating,flag_n_reviews_per_month,flag_days_since
Apartment,Entire home/apt,moderate,Real Bed,Hackney,95.0,5,1.0,100.0,5,5,0.25,10,5,3.0,600.0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,moderate,Real Bed,Hackney,25.0,2,1.0,93.0,6,1,1.67,0,1,1.0,107.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25.0,Hackney,moderate,Private room,Apartment,0,0,0,0,0
House,Entire home/apt,moderate,Real Bed,Hackney,200.0,6,2.0,96.0,0,1,0.51,0,5,3.0,399.0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200.0,Hackney,moderate,Entire home/apt,House,0,0,1,1,1
House,Entire home/apt,strict,Real Bed,Hackney,175.0,6,1.0,98.0,19,2,1.16,0,2,4.0,492.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175.0,Hackney,strict,Entire home/apt,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,95.0,2,1.0,94.0,24,1,1.94,0,2,1.0,371.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
House,Entire home/apt,strict,Real Bed,Hackney,80.0,2,1.0,98.0,53,2,1.29,10,3,1.0,1230.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80.0,Hackney,strict,Entire home/apt,House,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,150.0,2,1.0,96.0,0,1,0.51,0,5,1.0,399.0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Private room,flexible,Real Bed,Hackney,30.0,2,1.0,100.0,1,1,0.23,15,1,1.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Private room,moderate,Real Bed,Hackney,29.0,2,1.0,100.0,7,1,0.65,0,2,1.0,319.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29.0,Hackney,moderate,Private room,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,40.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,40.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Private room,strict,Real Bed,Hackney,38.0,2,1.0,92.0,10,1,0.88,0,1,1.0,339.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,30.0,2,3.0,100.0,1,1,0.18,5,2,1.0,169.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,Hackney,flexible,Private room,House,0,0,0,0,0
Apartment,Private room,moderate,Real Bed,Hackney,110.0,2,1.5,96.0,0,1,0.51,0,2,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,110.0,Hackney,moderate,Private room,Apartment,0,0,1,1,1
House,Entire home/apt,flexible,Real Bed,Hackney,190.0,4,1.0,96.0,11,4,0.26,15,2,2.0,1251.0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,190.0,Hackney,flexible,Entire home/apt,House,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,71.0,6,1.0,96.0,0,1,0.51,0,4,2.0,399.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,71.0,Hackney,strict,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,115.0,5,1.0,95.0,4,4,0.18,20,3,2.0,656.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,115.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,35.0,2,1.0,100.0,1,1,0.52,0,1,1.0,57.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,35.0,Hackney,flexible,Private room,House,0,0,0,0,0
Apartment,Private room,flexible,Couch,Hackney,45.0,2,1.0,96.0,0,1,0.51,10,1,1.0,399.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,79.0,2,1.0,92.0,10,1,0.85,0,3,1.0,353.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,79.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
House,Entire home/apt,flexible,Real Bed,Hackney,85.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,85.0,Hackney,flexible,Entire home/apt,House,0,0,1,1,1
House,Entire home/apt,flexible,Real Bed,Hackney,100.0,2,1.5,100.0,1,1,0.04,0,1,1.0,742.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100.0,Hackney,flexible,Entire home/apt,House,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,121.0,6,1.5,96.0,0,1,0.51,7,1,4.0,399.0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,121.0,Hackney,strict,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,moderate,Real Bed,Hackney,69.0,4,1.0,95.0,73,1,1.61,0,3,2.0,1357.0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,69.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,30.0,1,1.0,96.0,0,1,0.51,0,1,2.0,399.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
House,Private room,flexible,Real Bed,Hackney,60.0,3,1.0,100.0,1,1,0.48,0,4,1.0,61.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,60.0,Hackney,flexible,Private room,House,0,1,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,29.0,1,1.0,93.0,125,1,4.15,0,2,1.0,902.0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,29.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,73.0,2,1.0,96.0,0,1,0.51,0,1,1.0,399.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,73.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,55.0,2,1.0,93.0,3,2,0.87,0,5,1.0,103.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,strict,Real Bed,Hackney,66.0,2,0.5,96.0,0,1,0.51,8,1,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,66.0,Hackney,strict,Private room,House,0,0,1,1,1
Apartment,Private room,strict,Real Bed,Hackney,33.0,2,1.5,84.0,12,1,2.02,0,2,1.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,33.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
House,Private room,strict,Real Bed,Hackney,39.0,2,1.5,70.0,4,1,0.43,0,2,1.0,280.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,39.0,Hackney,strict,Private room,House,0,0,0,0,0
House,Entire home/apt,flexible,Real Bed,Hackney,100.0,6,1.0,96.0,0,4,0.51,20,2,4.0,399.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100.0,Hackney,flexible,Entire home/apt,House,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,132.0,7,1.5,96.0,0,1,0.51,0,3,2.0,399.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,132.0,Hackney,strict,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,66.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,66.0,Hackney,strict,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,95.0,4,1.0,90.0,15,1,1.07,7,2,2.0,420.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,39.0,2,2.0,50.0,2,2,0.23,10,1,1.0,257.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,33.0,2,1.0,71.0,11,1,3.33,0,2,1.0,98.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,80.0,2,0.5,93.0,36,1,0.55,30,1,1.0,1956.0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,80.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
House,Private room,strict,Real Bed,Hackney,59.0,2,1.0,100.0,3,1,0.3,0,2,1.0,300.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,59.0,Hackney,strict,Private room,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,90.0,2,1.0,90.0,4,1,0.19,0,5,1.0,645.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,60.0,2,2.0,96.0,0,1,0.51,0,1,1.0,399.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,60.0,Hackney,flexible,Private room,House,0,0,1,1,1
Apartment,Private room,moderate,Real Bed,Hackney,54.0,2,1.0,96.0,63,1,6.36,25,1,1.0,296.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,54.0,Hackney,moderate,Private room,Apartment,0,0,0,0,0
House,Entire home/apt,flexible,Real Bed,Hackney,85.0,4,1.0,94.0,10,3,1.08,10,1,2.0,278.0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,85.0,Hackney,flexible,Entire home/apt,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,89.0,2,1.0,98.0,8,2,0.22,10,1,1.0,1106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,89.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,52.0,2,1.0,100.0,16,1,5.58,0,1,1.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,52.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
House,Private room,strict,Real Bed,Hackney,55.0,2,1.0,92.0,12,2,0.92,0,3,1.0,389.0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,55.0,Hackney,strict,Private room,House,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,20.0,1,2.0,96.0,0,1,0.51,0,1,5.0,399.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,20.0,Hackney,flexible,Private room,House,0,0,1,1,1
Apartment,Private room,moderate,Real Bed,Hackney,32.0,2,1.0,91.0,17,1,2.22,8,2,1.0,229.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,32.0,Hackney,moderate,Private room,Apartment,0,0,0,0,0
House,Private room,strict,Real Bed,Hackney,28.0,2,1.5,87.0,11,1,1.2,12,1,1.0,274.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,28.0,Hackney,strict,Private room,House,0,0,0,0,0
House,Entire home/apt,strict,Real Bed,Hackney,200.0,5,1.5,98.0,8,4,1.14,0,2,5.0,210.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200.0,Hackney,strict,Entire home/apt,House,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,99.0,3,1.0,84.0,5,2,0.24,20,3,1.0,615.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,99.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,32.0,1,1.0,100.0,1,1,0.09,0,4,1.0,319.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,32.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,100.0,2,1.0,90.0,2,1,0.2,30,3,1.0,295.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,100.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,60.0,2,1.0,96.0,0,1,0.51,0,1,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,60.0,Hackney,flexible,Private room,House,0,0,1,1,1
Apartment,Private room,flexible,Real Bed,Hackney,30.0,2,1.0,97.0,6,1,0.49,0,3,1.0,370.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,30.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
House,Entire home/apt,flexible,Real Bed,Hackney,100.0,4,1.0,96.0,0,2,0.51,25,3,2.0,399.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100.0,Hackney,flexible,Entire home/apt,House,0,0,1,1,1
