hotel_id,city,country,price,distance,stars,rating,accommodation_type,year,month,weekend
39,Amsterdam,Netherlands,72,5.2,2.0,3.4,Hostel,2017,11,0
40,Amsterdam,Netherlands,300,4.9,4.0,4.3,Hotel,2017,11,0
41,Amsterdam,Netherlands,138,4.8,4.0,4.3,Hotel,2017,11,0
42,Amsterdam,Netherlands,120,4.9,3.0,4.1,Hotel,2017,11,0
43,Amsterdam,Netherlands,104,5.3,3.0,3.5,Hotel,2017,11,0
44,Amsterdam,Netherlands,80,5.3,3.5,4.0,Hotel,2017,11,0
45,Amsterdam,Netherlands,168,5.2,4.0,3.7,Hotel,2017,11,0
46,Amsterdam,Netherlands,77,5.8,3.0,3.5,Hotel,2017,11,0
47,Amsterdam,Netherlands,102,5.9,4.0,3.7,Hotel,2017,11,0
48,Amsterdam,Netherlands,138,6.0,4.0,4.0,Hotel,2017,11,0
49,Amsterdam,Netherlands,74,0.8,2.0,3.2,Hotel,2017,11,0
50,Amsterdam,Netherlands,90,2.6,3.5,4.5,Hotel,2017,11,0
51,Amsterdam,Netherlands,133,1.2,4.0,4.5,Hotel,2017,11,0
52,Amsterdam,Netherlands,82,1.1,2.5,4.5,Hotel,2017,11,0
53,Amsterdam,Netherlands,103,2.4,1.0,4.0,Hostel,2017,11,0
54,Amsterdam,Netherlands,135,1.1,3.0,4.1,Hotel,2017,11,0
55,Amsterdam,Netherlands,133,1.0,2.0,4.3,Hotel,2017,11,0
57,Amsterdam,Netherlands,186,1.0,4.0,3.9,Hotel,2017,11,0
58,Amsterdam,Netherlands,110,1.0,3.0,3.7,Hotel,2017,11,0
59,Amsterdam,Netherlands,133,1.0,3.5,4.0,Hotel,2017,11,0
60,Amsterdam,Netherlands,80,5.2,3.0,3.5,Hotel,2017,11,0
61,Amsterdam,Netherlands,69,2.6,3.0,4.1,Hotel,2017,11,0
62,Amsterdam,Netherlands,133,2.3,4.0,4.5,Hotel,2017,11,0
63,Amsterdam,Netherlands,91,2.3,3.0,3.5,Hotel,2017,11,0
64,Amsterdam,Netherlands,114,1.4,2.5,4.5,Hotel,2017,11,0
65,Amsterdam,Netherlands,101,2.4,3.0,3.9,Hotel,2017,11,0
66,Amsterdam,Netherlands,114,3.6,4.0,4.0,Hotel,2017,11,0
69,Amsterdam,Netherlands,84,2.0,4.0,3.9,Hotel,2017,11,0
70,Amsterdam,Netherlands,94,2.1,4.0,4.3,Hotel,2017,11,0
71,Amsterdam,Netherlands,103,2.6,4.0,4.1,Hotel,2017,11,0
72,Amsterdam,Netherlands,105,2.7,3.0,4.3,Apart-hotel,2017,11,0
73,Amsterdam,Netherlands,127,0.8,3.0,3.7,Hotel,2017,11,0
75,Amsterdam,Netherlands,72,3.9,3.0,4.0,Hotel,2017,11,0
76,Amsterdam,Netherlands,114,4.0,4.0,4.0,Hotel,2017,11,0
77,Amsterdam,Netherlands,83,1.4,3.0,4.0,Inn,2017,11,0
78,Amsterdam,Netherlands,68,4.2,3.0,3.7,Hotel,2017,11,0
79,Amsterdam,Netherlands,63,3.1,2.0,2.9,Hostel,2017,11,0
80,Amsterdam,Netherlands,74,3.0,4.0,2.4,Hotel,2017,11,0
81,Amsterdam,Netherlands,111,1.7,3.0,4.4,Hotel,2017,11,0
82,Amsterdam,Netherlands,117,1.7,4.0,4.4,Hotel,2017,11,0
83,Amsterdam,Netherlands,107,2.1,4.0,4.3,Hotel,2017,11,0
84,Amsterdam,Netherlands,99,2.4,3.0,4.5,Hotel,2017,11,0
85,Amsterdam,Netherlands,103,2.2,3.0,4.0,Hotel,2017,11,0
86,Amsterdam,Netherlands,106,0.8,3.0,3.5,Hotel,2017,11,0
87,Amsterdam,Netherlands,104,0.8,3.0,3.9,Hotel,2017,11,0
93,Amsterdam,Netherlands,83,1.6,3.5,3.5,Hotel,2017,11,0
94,Amsterdam,Netherlands,125,2.2,2.0,3.7,Hostel,2017,11,0
95,Amsterdam,Netherlands,111,2.6,3.0,4.1,Hotel,2017,11,0
96,Amsterdam,Netherlands,80,5.3,3.0,3.9,Hotel,2017,11,0
98,Amsterdam,Netherlands,105,5.7,3.0,4.0,Hotel,2017,11,0
99,Amsterdam,Netherlands,90,5.8,4.0,4.0,Hotel,2017,11,0
100,Amsterdam,Netherlands,112,0.9,2.0,3.5,Hotel,2017,11,0
101,Amsterdam,Netherlands,138,0.5,3.0,3.9,Hotel,2017,11,0
102,Amsterdam,Netherlands,127,0.9,3.0,4.1,Hotel,2017,11,0
103,Amsterdam,Netherlands,188,0.5,3.0,3.5,Hotel,2017,11,0
104,Amsterdam,Netherlands,145,0.4,2.0,3.2,Hotel,2017,11,0
105,Amsterdam,Netherlands,219,0.5,4.0,3.7,Hotel,2017,11,0
106,Amsterdam,Netherlands,99,0.6,3.0,2.9,Hotel,2017,11,0
107,Amsterdam,Netherlands,172,0.4,4.0,4.3,Guest House,2017,11,0
108,Amsterdam,Netherlands,221,0.3,3.0,4.8,Guest House,2017,11,0
110,Amsterdam,Netherlands,121,0.2,2.0,4.1,Hotel,2017,11,0
111,Amsterdam,Netherlands,324,0.3,4.0,4.8,Hotel,2017,11,0
112,Amsterdam,Netherlands,312,0.5,4.0,4.8,Hotel,2017,11,0
113,Amsterdam,Netherlands,577,0.6,5.0,4.9,Hotel,2017,11,0
114,Amsterdam,Netherlands,139,1.0,3.0,3.5,Apartment,2017,11,0
115,Amsterdam,Netherlands,342,0.3,4.0,4.6,Hotel,2017,11,0
116,Amsterdam,Netherlands,219,0.3,4.0,4.9,Hotel,2017,11,0
117,Amsterdam,Netherlands,184,0.4,4.0,4.0,Hotel,2017,11,0
118,Amsterdam,Netherlands,355,0.4,5.0,4.8,Hotel,2017,11,0
119,Amsterdam,Netherlands,110,0.7,2.5,3.7,Hotel,2017,11,0
120,Amsterdam,Netherlands,107,0.6,2.0,3.0,Hotel,2017,11,0
121,Amsterdam,Netherlands,91,0.6,2.0,3.0,Hotel,2017,11,0
122,Amsterdam,Netherlands,114,0.6,2.5,3.0,Hotel,2017,11,0
123,Amsterdam,Netherlands,167,0.4,3.0,3.5,Hotel,2017,11,0
124,Amsterdam,Netherlands,116,0.7,1.0,2.7,Hostel,2017,11,0
125,Amsterdam,Netherlands,109,1.0,3.0,4.0,Hotel,2017,11,0
126,Amsterdam,Netherlands,443,0.4,5.0,4.6,Hotel,2017,11,0
127,Amsterdam,Netherlands,222,0.4,5.0,4.5,Hotel,2017,11,0
128,Amsterdam,Netherlands,160,0.7,2.0,3.2,Hotel,2017,11,0
129,Amsterdam,Netherlands,172,0.8,4.0,4.0,Hotel,2017,11,0
130,Amsterdam,Netherlands,126,1.0,3.0,4.0,Hotel,2017,11,0
131,Amsterdam,Netherlands,108,0.8,3.0,3.7,Hotel,2017,11,0
132,Amsterdam,Netherlands,98,0.8,2.0,3.2,Hotel,2017,11,0
133,Amsterdam,Netherlands,364,0.4,5.0,4.8,Hotel,2017,11,0
134,Amsterdam,Netherlands,176,0.5,2.0,4.0,Hotel,2017,11,0
135,Amsterdam,Netherlands,151,0.7,4.0,4.3,Hotel,2017,11,0
136,Amsterdam,Netherlands,98,0.7,2.0,3.5,Hotel,2017,11,0
137,Amsterdam,Netherlands,363,0.5,5.0,4.8,Hotel,2017,11,0
138,Amsterdam,Netherlands,377,0.6,5.0,4.3,Hotel,2017,11,0
139,Amsterdam,Netherlands,98,0.8,1.0,2.9,Hotel,2017,11,0
140,Amsterdam,Netherlands,413,1.1,5.0,4.5,Hotel,2017,11,0
141,Amsterdam,Netherlands,138,0.2,2.0,2.7,Hotel,2017,11,0
142,Amsterdam,Netherlands,133,0.3,2.5,3.0,Hotel,2017,11,0
143,Amsterdam,Netherlands,81,0.3,2.5,3.0,Hotel,2017,11,0
144,Amsterdam,Netherlands,138,0.3,2.0,4.5,Hotel,2017,11,0
145,Amsterdam,Netherlands,146,0.3,2.0,3.5,Hotel,2017,11,0
146,Amsterdam,Netherlands,188,0.5,4.0,3.9,Hotel,2017,11,0
147,Amsterdam,Netherlands,96,0.5,1.0,3.5,Hotel,2017,11,0
148,Amsterdam,Netherlands,177,0.5,4.0,3.7,Hotel,2017,11,0
149,Amsterdam,Netherlands,145,0.5,4.0,3.5,Hotel,2017,11,0
150,Amsterdam,Netherlands,122,0.5,2.0,3.0,Hotel,2017,11,0
151,Amsterdam,Netherlands,90,0.3,2.0,2.2,Hotel,2017,11,0
152,Amsterdam,Netherlands,160,0.3,2.0,3.5,Hotel,2017,11,0
154,Amsterdam,Netherlands,89,1.1,2.0,3.5,Hotel,2017,11,0
156,Amsterdam,Netherlands,388,0.4,4.0,4.4,Apartment,2017,11,0
157,Amsterdam,Netherlands,107,0.4,2.0,2.5,Hotel,2017,11,0
158,Amsterdam,Netherlands,141,0.4,2.0,2.9,Hotel,2017,11,0
159,Amsterdam,Netherlands,203,0.3,4.0,4.0,Hotel,2017,11,0
160,Amsterdam,Netherlands,145,0.6,2.5,3.5,Hotel,2017,11,0
161,Amsterdam,Netherlands,223,0.5,2.0,3.7,Hotel,2017,11,0
167,Amsterdam,Netherlands,214,0.5,4.0,3.5,Hotel,2017,11,0
168,Amsterdam,Netherlands,184,0.5,4.0,4.0,Hotel,2017,11,0
169,Amsterdam,Netherlands,134,0.6,3.0,3.9,Hotel,2017,11,0
170,Amsterdam,Netherlands,215,0.9,4.0,4.8,Hotel,2017,11,0
171,Amsterdam,Netherlands,178,1.1,4.0,4.3,Hotel,2017,11,0
172,Amsterdam,Netherlands,138,1.0,3.0,4.0,Hotel,2017,11,0
173,Amsterdam,Netherlands,180,1.0,4.0,4.4,Hotel,2017,11,0
174,Amsterdam,Netherlands,185,1.0,4.0,4.3,Hotel,2017,11,0
175,Amsterdam,Netherlands,124,0.2,3.0,3.4,Hotel,2017,11,0
176,Amsterdam,Netherlands,139,0.2,1.0,2.5,Hotel,2017,11,0
177,Amsterdam,Netherlands,106,0.2,1.5,2.7,Hostel,2017,11,0
178,Amsterdam,Netherlands,259,0.1,5.0,4.3,Hotel,2017,11,0
179,Amsterdam,Netherlands,243,0.1,4.0,4.0,Hotel,2017,11,0
180,Amsterdam,Netherlands,197,0.1,4.0,4.3,Hotel,2017,11,0
181,Amsterdam,Netherlands,209,0.1,2.0,3.5,Hotel,2017,11,0
182,Amsterdam,Netherlands,162,0.1,3.5,3.4,Hotel,2017,11,0
184,Amsterdam,Netherlands,203,0.4,3.0,4.5,Bed and breakfast,2017,11,0
185,Amsterdam,Netherlands,87,0.4,2.5,2.7,Hotel,2017,11,0
188,Amsterdam,Netherlands,169,0.1,3.0,4.0,Hotel,2017,11,0
189,Amsterdam,Netherlands,175,0.1,1.0,3.7,Hotel,2017,11,0
190,Amsterdam,Netherlands,207,0.1,4.0,4.0,Hotel,2017,11,0
191,Amsterdam,Netherlands,156,0.2,3.0,3.7,Hotel,2017,11,0
192,Amsterdam,Netherlands,374,0.5,5.0,4.8,Hotel,2017,11,0
193,Amsterdam,Netherlands,104,0.2,2.0,3.2,Hostel,2017,11,0
194,Amsterdam,Netherlands,139,0.3,1.0,3.0,Hotel,2017,11,0
195,Amsterdam,Netherlands,91,0.2,1.0,3.2,Hotel,2017,11,0
196,Amsterdam,Netherlands,379,0.2,5.0,4.6,Hotel,2017,11,0
197,Amsterdam,Netherlands,804,0.2,5.0,4.8,Hotel,2017,11,0
198,Amsterdam,Netherlands,271,0.1,3.0,3.9,Bed and breakfast,2017,11,0
199,Amsterdam,Netherlands,175,0.7,3.5,3.5,Apartment,2017,11,0
200,Amsterdam,Netherlands,194,0.7,4.0,3.5,Apartment,2017,11,0
201,Amsterdam,Netherlands,228,0.5,5.0,4.3,Hotel,2017,11,0
202,Amsterdam,Netherlands,139,0.4,3.0,3.5,Hotel,2017,11,0
203,Amsterdam,Netherlands,134,0.5,3.0,3.7,Hotel,2017,11,0
204,Amsterdam,Netherlands,149,0.5,3.0,3.9,Hotel,2017,11,0
205,Amsterdam,Netherlands,133,0.6,3.0,3.7,Hotel,2017,11,0
206,Amsterdam,Netherlands,203,0.6,4.0,4.3,Hotel,2017,11,0
207,Amsterdam,Netherlands,142,0.6,3.0,3.9,Hotel,2017,11,0
208,Amsterdam,Netherlands,113,0.2,3.0,3.2,Hotel,2017,11,0
209,Amsterdam,Netherlands,167,0.2,3.0,4.0,Hotel,2017,11,0
210,Amsterdam,Netherlands,254,0.3,4.0,4.4,Hotel,2017,11,0
211,Amsterdam,Netherlands,292,0.1,5.0,4.1,Hotel,2017,11,0
212,Amsterdam,Netherlands,138,0.5,3.0,3.7,Hotel,2017,11,0
217,Amsterdam,Netherlands,119,0.2,2.0,3.7,Hostel,2017,11,0
218,Amsterdam,Netherlands,93,0.3,2.5,2.5,Hotel,2017,11,0
219,Amsterdam,Netherlands,262,1.3,4.0,4.5,Hotel,2017,11,0
220,Amsterdam,Netherlands,114,1.2,2.5,3.0,Hotel,2017,11,0
221,Amsterdam,Netherlands,97,1.3,3.0,3.5,Hotel,2017,11,0
222,Amsterdam,Netherlands,124,1.6,4.0,3.0,Hotel,2017,11,0
223,Amsterdam,Netherlands,261,1.7,5.0,4.5,Hotel,2017,11,0
224,Amsterdam,Netherlands,83,1.1,2.0,3.2,Hotel,2017,11,0
228,Amsterdam,Netherlands,83,1.3,3.0,3.5,Hotel,2017,11,0
229,Amsterdam,Netherlands,78,1.4,2.0,2.0,Hotel,2017,11,0
230,Amsterdam,Netherlands,134,1.1,3.0,3.7,Hotel,2017,11,0
231,Amsterdam,Netherlands,176,1.1,3.0,3.7,Hotel,2017,11,0
232,Amsterdam,Netherlands,110,1.4,1.0,3.7,Hotel,2017,11,0
233,Amsterdam,Netherlands,156,1.5,3.5,4.6,Bed and breakfast,2017,11,0
234,Amsterdam,Netherlands,73,1.4,2.0,3.4,Hotel,2017,11,0
235,Amsterdam,Netherlands,109,1.1,3.5,4.0,Bed and breakfast,2017,11,0
236,Amsterdam,Netherlands,83,4.1,1.5,3.9,Hostel,2017,11,0
237,Amsterdam,Netherlands,248,0.8,4.0,4.3,Apartment,2017,11,0
239,Amsterdam,Netherlands,148,0.5,3.0,4.5,Bed and breakfast,2017,11,0
240,Amsterdam,Netherlands,153,0.7,2.0,3.5,Hotel,2017,11,0
241,Amsterdam,Netherlands,168,0.5,3.0,4.1,Hotel,2017,11,0
242,Amsterdam,Netherlands,126,0.5,1.0,2.9,Hotel,2017,11,0
243,Amsterdam,Netherlands,187,0.7,4.0,4.5,Hotel,2017,11,0
246,Amsterdam,Netherlands,85,10.0,3.0,3.7,Hotel,2017,11,0
247,Amsterdam,Netherlands,118,9.5,3.0,4.3,Hotel,2017,11,0
248,Amsterdam,Netherlands,89,9.6,4.0,3.7,Hotel,2017,11,0
249,Amsterdam,Netherlands,101,9.1,4.0,4.0,Hotel,2017,11,0
250,Amsterdam,Netherlands,107,9.6,3.0,4.3,Hotel,2017,11,0
251,Amsterdam,Netherlands,157,9.4,4.0,4.0,Hotel,2017,11,0
252,Amsterdam,Netherlands,103,12.0,4.0,4.1,Hotel,2017,11,0
253,Amsterdam,Netherlands,167,9.3,4.0,4.5,Hotel,2017,11,0
254,Amsterdam,Netherlands,156,9.9,4.0,4.5,Hotel,2017,11,0
255,Amsterdam,Netherlands,85,9.1,4.0,3.5,Hotel,2017,11,0
256,Amsterdam,Netherlands,103,9.1,4.0,4.0,Hotel,2017,11,0
257,Amsterdam,Netherlands,177,0.5,3.0,4.6,Hotel,2017,11,0
258,Amsterdam,Netherlands,166,0.9,3.5,3.5,Apartment,2017,11,0
260,Amsterdam,Netherlands,130,0.7,3.0,4.1,Hotel,2017,11,0
261,Amsterdam,Netherlands,161,0.6,3.5,4.6,Hotel,2017,11,0
264,Amsterdam,Netherlands,234,0.7,3.5,4.5,Hotel,2017,11,0
267,Amsterdam,Netherlands,439,1.0,4.5,3.2,Apartment,2017,11,0
268,Amsterdam,Netherlands,172,1.1,4.0,4.4,Apartment,2017,11,0
269,Amsterdam,Netherlands,184,5.6,4.0,4.0,Hotel,2017,11,0
270,Amsterdam,Netherlands,102,1.2,4.0,3.5,Hotel,2017,11,0
271,Amsterdam,Netherlands,87,1.3,2.0,2.5,Hotel,2017,11,0
272,Amsterdam,Netherlands,94,1.5,3.0,4.3,Hotel,2017,11,0
273,Amsterdam,Netherlands,93,1.6,3.0,3.7,Hotel,2017,11,0
274,Amsterdam,Netherlands,96,1.4,3.0,3.7,Hotel,2017,11,0
275,Amsterdam,Netherlands,125,1.4,3.0,4.1,Hotel,2017,11,0
276,Amsterdam,Netherlands,137,1.0,3.5,4.3,Hotel,2017,11,0
277,Amsterdam,Netherlands,148,1.0,2.0,3.0,Hotel,2017,11,0
278,Amsterdam,Netherlands,104,0.9,1.0,3.0,Hotel,2017,11,0
279,Amsterdam,Netherlands,81,1.3,2.0,3.2,Hotel,2017,11,0
281,Amsterdam,Netherlands,75,1.4,2.0,3.0,Hostel,2017,11,0
282,Amsterdam,Netherlands,160,1.2,4.0,4.0,Hotel,2017,11,0
283,Amsterdam,Netherlands,132,1.0,3.0,4.1,Hotel,2017,11,0
284,Amsterdam,Netherlands,110,1.0,1.0,3.7,Hotel,2017,11,0
285,Amsterdam,Netherlands,150,1.1,3.0,4.5,Hotel,2017,11,0
286,Amsterdam,Netherlands,172,1.0,4.0,4.3,Hotel,2017,11,0
287,Amsterdam,Netherlands,226,1.1,4.0,4.5,Hotel,2017,11,0
288,Amsterdam,Netherlands,133,1.0,3.0,4.0,Hotel,2017,11,0
289,Amsterdam,Netherlands,99,1.3,2.5,4.5,Hotel,2017,11,0
290,Amsterdam,Netherlands,80,1.3,1.0,2.7,Hostel,2017,11,0
291,Amsterdam,Netherlands,105,0.8,2.0,2.7,Hostel,2017,11,0
292,Amsterdam,Netherlands,120,1.2,3.0,4.3,Hotel,2017,11,0
293,Amsterdam,Netherlands,98,0.7,2.0,2.7,Hotel,2017,11,0
294,Amsterdam,Netherlands,101,0.7,2.0,3.7,Hotel,2017,11,0
295,Amsterdam,Netherlands,90,0.8,2.0,3.0,Hotel,2017,11,0
296,Amsterdam,Netherlands,126,0.8,3.0,2.9,Hotel,2017,11,0
297,Amsterdam,Netherlands,204,0.8,4.0,4.1,Hotel,2017,11,0
298,Amsterdam,Netherlands,105,0.7,1.0,2.5,Hostel,2017,11,0
299,Amsterdam,Netherlands,953,0.7,4.0,4.9,Apartment,2017,11,0
300,Amsterdam,Netherlands,134,0.7,3.0,3.5,Hotel,2017,11,0
301,Amsterdam,Netherlands,75,0.7,1.0,2.0,Hotel,2017,11,0
302,Amsterdam,Netherlands,139,0.8,2.0,3.5,Hotel,2017,11,0
303,Amsterdam,Netherlands,150,0.8,2.0,4.1,Hotel,2017,11,0
304,Amsterdam,Netherlands,138,0.8,2.5,4.3,Hotel,2017,11,0
305,Amsterdam,Netherlands,121,1.4,3.5,4.3,Apartment,2017,11,0
306,Amsterdam,Netherlands,104,0.9,3.0,3.9,Hotel,2017,11,0
307,Amsterdam,Netherlands,95,1.0,2.0,2.7,Hotel,2017,11,0
308,Amsterdam,Netherlands,109,0.9,3.0,3.7,Hotel,2017,11,0
309,Amsterdam,Netherlands,107,0.9,3.0,3.7,Hotel,2017,11,0
310,Amsterdam,Netherlands,102,1.0,3.0,3.9,Hotel,2017,11,0
311,Amsterdam,Netherlands,150,1.0,4.0,4.3,Hotel,2017,11,0
312,Amsterdam,Netherlands,161,1.0,2.0,2.9,Hotel,2017,11,0
313,Amsterdam,Netherlands,268,0.9,5.0,4.1,Hotel,2017,11,0
314,Amsterdam,Netherlands,211,0.9,4.0,4.1,Hotel,2017,11,0
315,Amsterdam,Netherlands,116,1.0,2.0,2.9,Hotel,2017,11,0
316,Amsterdam,Netherlands,166,0.9,4.0,3.9,Hotel,2017,11,0
318,Amsterdam,Netherlands,124,1.0,3.0,3.7,Hotel,2017,11,0
319,Amsterdam,Netherlands,488,1.2,5.0,4.8,Hotel,2017,11,0
320,Amsterdam,Netherlands,120,1.3,3.0,4.0,Hotel,2017,11,0
324,Amsterdam,Netherlands,127,0.9,4.0,4.0,Hotel,2017,11,0
325,Amsterdam,Netherlands,138,1.0,3.0,3.4,Hotel,2017,11,0
326,Amsterdam,Netherlands,121,1.0,3.0,3.9,Hotel,2017,11,0
327,Amsterdam,Netherlands,53,1.1,2.0,4.0,Hostel,2017,11,0
328,Amsterdam,Netherlands,114,1.1,3.0,3.7,Hotel,2017,11,0
329,Amsterdam,Netherlands,126,0.9,3.0,3.7,Hotel,2017,11,0
330,Amsterdam,Netherlands,92,1.3,3.0,3.0,Hotel,2017,11,0
331,Amsterdam,Netherlands,84,0.8,2.0,2.7,Hotel,2017,11,0
332,Amsterdam,Netherlands,80,0.9,1.5,2.7,Bed and breakfast,2017,11,0
333,Amsterdam,Netherlands,126,1.6,3.0,4.3,Hotel,2017,11,0
334,Amsterdam,Netherlands,233,1.4,3.5,,Bed and breakfast,2017,11,0
335,Amsterdam,Netherlands,104,1.9,3.5,4.3,Hotel,2017,11,0
336,Amsterdam,Netherlands,149,2.4,4.0,4.6,Hotel,2017,11,0
337,Amsterdam,Netherlands,114,2.7,4.0,4.1,Hotel,2017,11,0
338,Amsterdam,Netherlands,112,1.5,3.5,4.5,Hotel,2017,11,0
339,Amsterdam,Netherlands,219,1.6,3.0,4.5,Hotel,2017,11,0
341,Amsterdam,Netherlands,92,1.9,3.5,3.7,Hotel,2017,11,0
342,Amsterdam,Netherlands,78,1.9,1.5,2.9,Hostel,2017,11,0
345,Amsterdam,Netherlands,97,3.1,3.0,3.7,Hotel,2017,11,0
346,Amsterdam,Netherlands,230,0.4,4.0,4.0,Hotel,2017,11,0
347,Amsterdam,Netherlands,110,0.3,2.0,2.5,Hostel,2017,11,0
348,Amsterdam,Netherlands,80,0.3,1.0,2.5,Hotel,2017,11,0
349,Amsterdam,Netherlands,110,0.2,3.0,2.7,Hotel,2017,11,0
350,Amsterdam,Netherlands,104,0.2,1.0,2.2,Hotel,2017,11,0
351,Amsterdam,Netherlands,165,0.2,3.0,3.9,Hotel,2017,11,0
352,Amsterdam,Netherlands,136,0.2,2.0,2.9,Hotel,2017,11,0
353,Amsterdam,Netherlands,91,0.3,2.0,2.4,Hotel,2017,11,0
354,Amsterdam,Netherlands,281,0.7,3.5,4.6,Apartment,2017,11,0
355,Amsterdam,Netherlands,198,0.4,3.0,4.0,Hotel,2017,11,0
356,Amsterdam,Netherlands,206,0.3,5.0,4.0,Hotel,2017,11,0
357,Amsterdam,Netherlands,198,0.4,3.0,4.8,Hotel,2017,11,0
358,Amsterdam,Netherlands,176,0.4,3.0,3.9,Hotel,2017,11,0
359,Amsterdam,Netherlands,127,0.4,2.5,2.5,Hotel,2017,11,0
360,Amsterdam,Netherlands,116,0.4,2.0,2.5,Hotel,2017,11,0
361,Amsterdam,Netherlands,92,0.4,2.5,2.0,Guest House,2017,11,0
362,Amsterdam,Netherlands,110,0.4,1.0,3.5,Hotel,2017,11,0
363,Amsterdam,Netherlands,259,0.2,3.5,4.8,Hotel,2017,11,0
364,Amsterdam,Netherlands,63,0.3,2.0,4.0,Hostel,2017,11,0
365,Amsterdam,Netherlands,177,0.2,4.0,4.1,Hotel,2017,11,0
366,Amsterdam,Netherlands,143,0.3,3.0,3.7,Hotel,2017,11,0
367,Amsterdam,Netherlands,295,0.3,4.5,4.5,Hotel,2017,11,0
368,Amsterdam,Netherlands,178,0.2,3.0,4.0,Hotel,2017,11,0
369,Amsterdam,Netherlands,236,0.2,4.0,4.5,Hotel,2017,11,0
370,Amsterdam,Netherlands,187,0.2,3.0,4.0,Hotel,2017,11,0
371,Amsterdam,Netherlands,228,0.6,4.0,4.4,Hotel,2017,11,0
372,Amsterdam,Netherlands,133,0.4,3.0,3.2,Hotel,2017,11,0
374,Amsterdam,Netherlands,281,0.4,5.0,4.5,Hotel,2017,11,0
375,Amsterdam,Netherlands,138,0.4,3.0,3.5,Hotel,2017,11,0
376,Amsterdam,Netherlands,220,0.4,5.0,4.4,Hotel,2017,11,0
377,Amsterdam,Netherlands,135,0.3,3.0,3.7,Hotel,2017,11,0
378,Amsterdam,Netherlands,166,0.3,3.0,4.1,Hotel,2017,11,0
379,Amsterdam,Netherlands,143,0.2,2.0,4.0,Hostel,2017,11,0
380,Amsterdam,Netherlands,183,0.2,3.5,4.6,Bed and breakfast,2017,11,0
382,Amsterdam,Netherlands,161,0.4,3.0,4.1,Hotel,2017,11,0
383,Amsterdam,Netherlands,116,0.3,2.0,3.0,Hotel,2017,11,0
384,Amsterdam,Netherlands,172,0.3,3.0,3.7,Hotel,2017,11,0
385,Amsterdam,Netherlands,121,0.4,2.5,3.2,Hotel,2017,11,0
386,Amsterdam,Netherlands,98,0.4,2.5,2.7,Hotel,2017,11,0
387,Amsterdam,Netherlands,127,1.0,3.0,4.4,Hotel,2017,11,0
388,Amsterdam,Netherlands,113,1.5,3.0,4.0,Hotel,2017,11,0
389,Amsterdam,Netherlands,139,1.7,4.0,4.3,Hotel,2017,11,0
