f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,price,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,neighbourhood_cleansed,cancellation_policy,room_type,property_type,neighbourhood_cleansed
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,50.0,2,1.0,80.0,2,1,0.30000001,0,1,1.0,198.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
Apartment,Private room,strict,Real Bed,Kingston upon Thames,23.0,1,1.0,100.0,2,1,0.34,10,1,1.0,176.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Private room,Apartment,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,35.0,2,1.0,70.0,4,1,0.70999998,25,1,2.0,168.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,45.0,3,1.0,100.0,12,1,1.34,10,1,1.0,266.0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,40.0,2,1.0,100.0,1,1,0.23,0,2,1.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,60.0,2,1.0,100.0,4,1,0.25,0,1,1.0,483.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Entire home/apt,strict,Real Bed,Kingston upon Thames,150.0,7,1.0,100.0,2,6,0.30000001,30,3,4.0,202.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Kingston upon Thames,strict,Entire home/apt,Apartment,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,60.0,2,2.0,100.0,1,2,0.81,50,1,1.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,45.0,2,1.0,,0,1,,0,2,1.0,,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Entire home/apt,strict,Real Bed,Kingston upon Thames,85.0,4,1.0,93.0,24,2,1.6799999,15,5,2.0,427.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Kingston upon Thames,strict,Entire home/apt,Apartment,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,45.0,2,2.5,,0,1,,35,4,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Private room,moderate,Real Bed,Kingston upon Thames,30.0,2,1.0,97.0,6,1,0.93000001,18,2,1.0,193.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Kingston upon Thames,moderate,Private room,Apartment,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,55.0,2,1.0,100.0,24,1,1.1799999,0,1,1.0,607.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
House,Private room,flexible,Couch,Kingston upon Thames,30.0,2,1.0,80.0,1,1,0.059999999,0,1,1.0,483.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,300.0,8,3.5,,0,1,,0,4,4.0,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,45.0,3,1.0,99.0,59,1,2.8299999,20,1,1.0,624.0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
Apartment,Entire home/apt,flexible,Real Bed,Kingston upon Thames,72.0,2,1.0,,0,1,,0,5,1.0,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Entire home/apt,Apartment,Kingston upon Thames
House,Entire home/apt,moderate,Real Bed,Kingston upon Thames,199.0,7,2.5,,0,1,,0,7,1.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Kingston upon Thames,moderate,Entire home/apt,House,Kingston upon Thames
Apartment,Entire home/apt,flexible,Real Bed,Kingston upon Thames,70.0,4,1.0,,0,1,,0,1,1.0,,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Kingston upon Thames,flexible,Entire home/apt,Apartment,Kingston upon Thames
Apartment,Entire home/apt,strict,Real Bed,Kingston upon Thames,80.0,4,1.0,98.0,51,2,0.87,15,7,2.0,1749.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Entire home/apt,Apartment,Kingston upon Thames
House,Entire home/apt,strict,Real Bed,Kingston upon Thames,575.0,8,3.0,,0,1,,0,3,5.0,,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Entire home/apt,House,Kingston upon Thames
House,Private room,strict,Real Bed,Kingston upon Thames,42.0,2,1.5,,0,1,,0,2,2.0,,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Kingston upon Thames,strict,Private room,House,Kingston upon Thames
Apartment,Shared room,strict,Couch,Kingston upon Thames,25.0,2,1.0,93.0,6,1,0.30000001,10,1,1.0,595.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,Kingston upon Thames,strict,Shared room,Apartment,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,32.0,2,1.5,100.0,4,1,0.70999998,0,1,1.0,168.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Shared room,moderate,Couch,Kingston upon Thames,25.0,1,1.0,87.0,6,1,1.22,0,2,1.0,147.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,Kingston upon Thames,moderate,Shared room,Apartment,Kingston upon Thames
House,Private room,strict,Real Bed,Kingston upon Thames,59.0,9,4.0,95.0,17,1,0.41,0,3,2.0,1237.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Private room,House,Kingston upon Thames
Apartment,Entire home/apt,flexible,Real Bed,Kingston upon Thames,82.0,3,1.0,97.0,6,1,6.0,0,1,1.0,27.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,Kingston upon Thames,flexible,Entire home/apt,Apartment,Kingston upon Thames
House,Entire home/apt,strict,Real Bed,Kingston upon Thames,80.0,4,1.0,,0,1,,0,7,2.0,,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Entire home/apt,House,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,30.0,2,1.0,,0,1,,0,1,,,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
Apartment,Entire home/apt,moderate,Real Bed,Kingston upon Thames,59.0,2,1.0,97.0,47,1,2.4300001,0,2,1.0,579.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Entire home/apt,Apartment,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,43.0,13,2.5,,0,1,,40,1,13.0,,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,75.0,2,1.0,,0,1,,15,1,1.0,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
House,Private room,strict,Real Bed,Kingston upon Thames,50.0,2,1.0,93.0,9,1,0.40000001,0,1,1.0,671.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Kingston upon Thames,strict,Private room,House,Kingston upon Thames
Apartment,Private room,strict,Real Bed,Kingston upon Thames,60.0,1,1.0,,0,1,,5,1,1.0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Kingston upon Thames,strict,Private room,Apartment,Kingston upon Thames
House,Private room,strict,Real Bed,Kingston upon Thames,29.0,2,2.0,97.0,24,1,1.8,5,1,1.0,398.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Kingston upon Thames,strict,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,50.0,1,1.0,,0,1,,0,1,1.0,,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
Apartment,Private room,strict,Real Bed,Kingston upon Thames,60.0,1,1.0,60.0,2,1,0.090000004,0,1,1.0,649.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Private room,Apartment,Kingston upon Thames
Apartment,Private room,strict,Real Bed,Kingston upon Thames,29.0,2,1.0,95.0,22,1,1.54,0,3,1.0,427.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Private room,Apartment,Kingston upon Thames
House,Entire home/apt,moderate,Real Bed,Kingston upon Thames,600.0,11,6.5,,0,6,,35,2,5.0,,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Entire home/apt,House,Kingston upon Thames
House,Private room,moderate,Real Bed,Kingston upon Thames,28.0,1,1.0,100.0,1,1,0.68000001,0,1,1.0,43.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,Kingston upon Thames,moderate,Private room,House,Kingston upon Thames
Apartment,Private room,flexible,Real Bed,Kingston upon Thames,65.0,2,1.0,100.0,2,1,0.28,0,1,1.0,214.0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Private room,Apartment,Kingston upon Thames
Apartment,Entire home/apt,moderate,Real Bed,Kingston upon Thames,75.0,2,1.0,94.0,20,2,0.93000001,10,2,1.0,641.0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Entire home/apt,Apartment,Kingston upon Thames
Apartment,Entire home/apt,flexible,Real Bed,Kingston upon Thames,57.0,4,1.0,,0,1,,0,1,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Entire home/apt,Apartment,Kingston upon Thames
Apartment,Entire home/apt,strict,Real Bed,Kingston upon Thames,155.0,4,1.0,100.0,2,1,0.33000001,0,14,4.0,179.0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,Kingston upon Thames,strict,Entire home/apt,Apartment,Kingston upon Thames
Apartment,Entire home/apt,flexible,Real Bed,Kingston upon Thames,75.0,3,1.0,88.0,14,3,1.83,20,1,2.0,229.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Entire home/apt,Apartment,Kingston upon Thames
House,Entire home/apt,moderate,Real Bed,Kingston upon Thames,149.0,6,2.0,,0,4,,50,1,2.0,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,moderate,Entire home/apt,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,49.0,1,2.5,99.0,18,1,0.56999999,20,2,1.0,947.0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,40.0,2,2.0,,0,1,,0,14,1.0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Private room,flexible,Real Bed,Kingston upon Thames,29.0,2,1.0,93.0,7,1,1.63,7,1,1.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,Kingston upon Thames,flexible,Private room,House,Kingston upon Thames
House,Entire home/apt,flexible,Real Bed,Kingston upon Thames,45.0,4,1.0,,0,4,,10,5,2.0,,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,Kingston upon Thames,flexible,Entire home/apt,House,Kingston upon Thames
House,Entire home/apt,strict,Real Bed,Kingston upon Thames,150.0,8,1.0,80.0,1,6,0.16,20,7,7.0,187.0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Kingston upon Thames,strict,Entire home/apt,House,Kingston upon Thames
